,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
165,Hakim Ziyech Chelsea,28, M(CLR),,15(8),1180,3,1.5,29.0,79.1,0.5,1.1,0,6.71
166,Jan Bednarek Southampton,25, D(C),,36,3104,1,0.1,57.4,82.4,0,2.3,0,6.7
167,Tyrick Mitchell Crystal Palace,22, D(L),,19,1710,1,0.2,31.5,69.8,0.3,1.5,0,6.7
168,Ethan Ampadu Sheff Utd,21, D(C), D(C),23(2),2091,0,0.4,40.2,82.3,0.2,2.2,0,6.7
169,Tammy Abraham Chelsea,24, FW,,12(10),1036,1,0.4,9.3,72.7,0,0.1,0,6.7
170,Victor Lindelöf Man Utd,27, D(CR),,29,2586,1,0.2,64.3,89.8,0,2.1,0,6.69
171,Kenny Tete Fulham,26, D(CR), D(CR),18(4),1483,1,0.8,31.4,75.5,1,1.5,0,6.69
172,Chris Basham Sheff Utd,33, D(CR), D(CR),31,2586,1,0.4,34.1,82.8,0.2,1.2,0,6.69
173,Héctor Bellerín Arsenal,26, D(R), D(R),24(1),2093,2,0.8,44.6,83.8,0.5,0.7,0.1,6.69
174,Daniel Podence Wolves,26, AM(CLR), AM(CLR),22(2),1679,2,0.9,25.0,77.7,0.3,1.8,0,6.68
175,Kieran Tierney Arsenal,24, D(CL), D(CL),26(1),2302,3,1.1,43.7,79.6,0.9,1.6,0,6.68
176,Oliver McBurnie Sheff Utd,25, AM(CL), AM(CL),12(11),1319,0,0.7,19.1,57.5,0,0.3,0,6.67
177,João Moutinho Wolves,35, M(C),,28(5),2534,1,1.4,52.2,88.4,0.8,2.3,0.1,6.67
178,Douglas Luiz Aston Villa,23, M(C),,32(1),2790,2,0.6,42.9,85.7,0.1,3.3,0,6.67
179,Edinson Cavani Man Utd,34, AM(LR), AM(LR),13(13),1372,3,0.5,12.9,77.4,0,0.5,0.1,6.67
