,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
19,Sadio Mané,Liverpool,29.0,2230.0,10,7,21.16,6.35,0.46,0.21,0.68
20,Chris Wood,Burnley,24.0,1639.0,10,1,7.59,1.02,0.42,0.03,0.45
21,Luka Milivojevic,Crystal Palace,36.0,3087.0,10,1,8.75,8.06,0.23,0.04,0.27
22,Alexis Sánchez,"Arsenal, Manchester United",31.0,2562.0,9,6,22.28,9.07,0.4,0.28,0.68
23,Wilfried Zaha,Crystal Palace,29.0,2551.0,9,3,16.14,3.0,0.34,0.19,0.53
24,Anthony Martial,Manchester United,30.0,1589.0,9,5,13.71,5.23,0.36,0.31,0.66
25,David Silva,Manchester City,29.0,2442.0,9,11,30.25,18.98,0.34,0.33,0.67
26,Dele Alli,Tottenham,36.0,2991.0,9,10,23.89,8.14,0.3,0.27,0.57
27,Ashley Barnes,Burnley,36.0,2143.0,9,0,8.71,1.91,0.28,0.06,0.34
28,Chicharito,West Ham,28.0,1524.0,8,0,6.96,1.8,0.31,0.08,0.39
29,Kevin De Bruyne,Manchester City,37.0,3103.0,8,16,33.5,22.9,0.16,0.38,0.54
30,Joshua King,Bournemouth,33.0,2458.0,8,3,9.64,3.61,0.24,0.18,0.42
31,Callum Wilson,Bournemouth,28.0,2007.0,8,2,9.41,2.7,0.34,0.07,0.41
32,Jesse Lingard,Manchester United,33.0,1836.0,8,5,13.91,5.56,0.39,0.18,0.57
33,Oumar Niasse,Everton,22.0,1075.0,8,2,9.2,1.38,0.62,0.13,0.75
34,Ayoze Pérez,Newcastle United,36.0,2502.0,8,5,14.12,6.33,0.25,0.2,0.44
35,Xherdan Shaqiri,Stoke,36.0,3066.0,8,7,11.42,5.91,0.15,0.2,0.35
36,Pascal Groß,Brighton,38.0,2979.0,7,8,12.21,5.43,0.1,0.26,0.36
37,Philippe Coutinho,Liverpool,14.0,1132.0,7,6,9.05,3.71,0.29,0.39,0.68
38,Olivier Giroud,"Arsenal, Chelsea",29.0,953.0,7,1,10.7,1.64,0.72,0.28,1.0
39,Aaron Ramsey,Arsenal,24.0,1849.0,7,8,19.13,11.19,0.33,0.29,0.62
40,Marcus Rashford,Manchester United,35.0,1792.0,7,5,10.89,2.58,0.28,0.23,0.51
41,Jordan Ayew,Swansea,36.0,2862.0,7,2,8.02,1.89,0.22,0.06,0.28
42,Salomón Rondón,West Bromwich Albion,36.0,2781.0,7,3,10.67,3.4,0.22,0.08,0.31
